node,targets
電腦及週邊設備,"鴻海 2317,南亞科 2408"
電動車輛產業,鴻海 2317
通信網路,"鴻海 2317,南亞科 2408"
半導體,"南亞科 2408,台積電 2330,穩懋 3105"
太空衛星科技,穩懋 3105
連接器,鴻海 2317
